ORIG_DT,WKD_TYP_CD
2018/1/1,NH
2018/1/2,WN
2018/1/3,WN
2018/1/4,WN
2018/1/5,WN
2018/1/6,SN
2018/1/7,SN
2018/1/8,WN
2018/1/9,WN
2018/1/10,WN
2018/1/11,WN
2018/1/12,WN
2018/1/13,SN
2018/1/14,SN
2018/1/15,WN
2018/1/16,WN
2018/1/17,WN
2018/1/18,WN
2018/1/19,WN
2018/1/20,SN
2018/1/21,SN
2018/1/22,WN
2018/1/23,WN
2018/1/24,WN
2018/1/25,WN
2018/1/26,WN
2018/1/27,SN
2018/1/28,SN
2018/1/29,WN
2018/1/30,WN
2018/1/31,WN
2018/2/1,WN
2018/2/2,WN
2018/2/3,SN
2018/2/4,SN
2018/2/5,WN
2018/2/6,WN
2018/2/7,WN
2018/2/8,WN
2018/2/9,WN
2018/2/10,SN
2018/2/11,WS
2018/2/12,WN
2018/2/13,WN
2018/2/14,WN
2018/2/15,SS
2018/2/16,NH
2018/2/17,NH
2018/2/18,NH
2018/2/19,SS
2018/2/20,SS
2018/2/21,SS
2018/2/22,WN
2018/2/23,WN
2018/2/24,WS
2018/2/25,SN
2018/2/26,WN
2018/2/27,WN
2018/2/28,WN
2018/3/1,WN
2018/3/2,WN
2018/3/3,SN
2018/3/4,SN
2018/3/5,WN
2018/3/6,WN
2018/3/7,WN
2018/3/8,WN
2018/3/9,WN
2018/3/10,SN
2018/3/11,SN
2018/3/12,WN
2018/3/13,WN
2018/3/14,WN
2018/3/15,WN
2018/3/16,WN
2018/3/17,SN
2018/3/18,SN
2018/3/19,WN
2018/3/20,WN
2018/3/21,WN
2018/3/22,WN
2018/3/23,WN
2018/3/24,SN
2018/3/25,SN
2018/3/26,WN
2018/3/27,WN
2018/3/28,WN
2018/3/29,WN
2018/3/30,WN
2018/3/31,SN
2018/4/1,SN
2018/4/2,WN
2018/4/3,WN
2018/4/4,WN
2018/4/5,NH
2018/4/6,SS
2018/4/7,SN
2018/4/8,WS
2018/4/9,WN
2018/4/10,WN
2018/4/11,WN
2018/4/12,WN
2018/4/13,WN
2018/4/14,SN
2018/4/15,SN
2018/4/16,WN
2018/4/17,WN
2018/4/18,WN
2018/4/19,WN
2018/4/20,WN
2018/4/21,SN
2018/4/22,SN
2018/4/23,WN
2018/4/24,WN
2018/4/25,WN
2018/4/26,WN
2018/4/27,WN
2018/4/28,WS
2018/4/29,SN
2018/4/30,SS
2018/5/1,NH
2018/5/2,WN
2018/5/3,WN
2018/5/4,WN
2018/5/5,SN
2018/5/6,SN
2018/5/7,WN
2018/5/8,WN
2018/5/9,WN
2018/5/10,WN
2018/5/11,WN
2018/5/12,SN
2018/5/13,SN
2018/5/14,WN
2018/5/15,WN
2018/5/16,WN
2018/5/17,WN
2018/5/18,WN
2018/5/19,SN
2018/5/20,SN
2018/5/21,WN
2018/5/22,WN
2018/5/23,WN
2018/5/24,WN
2018/5/25,WN
2018/5/26,SN
2018/5/27,SN
2018/5/28,WN
2018/5/29,WN
2018/5/30,WN
2018/5/31,WN
2018/6/1,WN
2018/6/2,SN
